[2025-06-11T07:53:17.886Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:53:19.231Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:53:19.813Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:53:29.893Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:53:45.253Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:53:55.380Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:54:05.561Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:54:15.658Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:54:25.790Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:54:36.199Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:54:46.342Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:54:56.473Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:55:06.812Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:55:16.901Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:55:27.337Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:55:37.460Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:55:47.641Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:55:57.733Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:56:07.835Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:56:17.978Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:56:29.202Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
